Organization_ID,Industry,Company_Size,Employee_Count,AI_Tool,Adoption_Year,AI_Investment_USD,Productivity_Gain_Percent,Annual_Savings_USD,Satisfaction_Score,AI_Usage_Hours_Per_Week,ROI_Percent,Adoption_Status
ORG_1,Retail,Large,6191,ChatGPT,2025,74040,16.43,67695.29,5,8.77,91.43,Slow Adopter
ORG_2,Healthcare,Small,21,Claude,2025,12000,10.97,21053.57,6,3.03,175.45,Slow Adopter
ORG_3,Retail,Small,78,ChatGPT,2024,22694,33.16,23585.47,9,39.03,103.93,AI Leader
ORG_4,Retail,Medium,330,Copilot,2026,63192,30.52,51493.81,4,19.67,81.49,Early Adopter
ORG_5,Retail,Small,191,ChatGPT,2024,17972,29.09,27593.18,6,36.64,153.53,AI Leader
ORG_6,Manufacturing,Medium,676,Copilot,2026,84835,35.83,111845.59,8,37.76,131.84,AI Leader
ORG_7,Manufacturing,Small,59,Copilot,2026,7929,21.2,14224.08,10,22.97,179.39,Early Adopter
ORG_8,IT,Small,64,Midjourney,2021,18340,25.34,42886.0,6,31.57,233.84,AI Leader
ORG_9,Healthcare,Small,60,Claude,2026,14066,22.35,18502.46,3,19.63,131.54,Early Adopter
ORG_10,Healthcare,Medium,925,Gemini,2026,93098,23.13,104192.19,8,7.42,111.92,Slow Adopter
ORG_11,Manufacturing,Medium,592,ChatGPT,2025,82437,22.84,106474.24,5,19.26,129.16,Early Adopter
ORG_12,Retail,Large,8574,Gemini,2025,231435,17.69,220947.95,7,10.51,95.47,Slow Adopter
ORG_13,Finance,Medium,773,Claude,2025,106953,30.11,140489.08,6,32.74,131.36,AI Leader
ORG_14,Retail,Small,148,ChatGPT,2023,10430,28.6,18513.22,3,33.27,177.5,AI Leader
ORG_15,Manufacturing,Small,70,ChatGPT,2023,24902,20.66,34862.43,10,9.23,140.0,Slow Adopter
ORG_16,IT,Small,31,Gemini,2023,14662,24.13,9863.3,3,14.13,67.27,Slow Adopter
ORG_17,IT,Medium,837,Copilot,2022,58646,35.75,82880.86,10,39.47,141.32,AI Leader
ORG_18,IT,Medium,479,Midjourney,2024,52264,20.48,36046.76,9,17.76,68.97,Early Adopter
ORG_19,Retail,Small,183,Copilot,2020,17247,5.87,42133.77,10,11.38,244.3,Slow Adopter
ORG_20,Healthcare,Small,197,Claude,2026,6019,21.98,16803.59,6,12.54,279.18,Slow Adopter
ORG_21,Manufacturing,Large,4108,ChatGPT,2026,295669,23.44,754426.1,5,13.32,255.16,Slow Adopter
ORG_22,IT,Medium,786,Copilot,2026,84895,21.57,180161.57,8,27.75,212.22,Early Adopter
ORG_23,Education,Small,180,Copilot,2020,20057,22.29,41051.63,10,9.62,204.67,Slow Adopter
ORG_24,IT,Medium,669,ChatGPT,2023,105494,34.32,164113.6,7,39.0,155.57,AI Leader
ORG_25,Education,Medium,483,Claude,2025,50015,23.65,133490.48,10,11.52,266.9,Slow Adopter
ORG_26,Education,Small,25,ChatGPT,2024,26124,42.95,72016.8,3,37.35,275.67,AI Leader
ORG_27,Retail,Small,179,ChatGPT,2026,20755,17.62,54918.5,3,9.27,264.6,Slow Adopter
ORG_28,Manufacturing,Small,51,ChatGPT,2025,16878,24.56,36008.11,4,12.4,213.34,Slow Adopter
ORG_29,Healthcare,Medium,238,Copilot,2023,59477,32.66,36364.64,3,32.97,61.14,AI Leader
ORG_30,Retail,Medium,520,Gemini,2021,47728,8.44,38505.05,5,4.88,80.68,Slow Adopter
ORG_31,Manufacturing,Small,82,Claude,2026,10311,30.41,18033.27,3,34.83,174.89,AI Leader
ORG_32,Education,Small,127,ChatGPT,2025,23734,13.02,21464.48,6,4.91,90.44,Slow Adopter
ORG_33,Education,Large,2693,Gemini,2020,182465,34.49,179043.33,4,19.04,98.12,Early Adopter
ORG_34,IT,Small,115,Copilot,2024,16423,42.18,33595.63,7,27.43,204.56,Early Adopter
ORG_35,Education,Medium,446,Copilot,2020,92426,24.08,151872.78,8,8.87,164.32,Slow Adopter
ORG_36,Finance,Medium,540,ChatGPT,2024,70916,27.67,44937.34,9,19.05,63.37,Early Adopter
ORG_37,Healthcare,Medium,968,Copilot,2024,74331,28.26,140389.43,10,25.79,188.87,Early Adopter
ORG_38,Healthcare,Large,7833,ChatGPT,2025,236718,35.03,642599.24,5,33.01,271.46,AI Leader
ORG_39,Finance,Small,48,ChatGPT,2021,6895,23.54,14083.66,5,3.67,204.26,Slow Adopter
ORG_40,Education,Large,1417,Gemini,2023,328714,31.16,728810.31,4,28.64,221.72,Early Adopter
ORG_41,Education,Large,9867,Claude,2022,196166,33.72,225598.0,3,32.85,115.0,AI Leader
ORG_42,Manufacturing,Medium,979,Copilot,2024,97719,16.94,165383.02,3,30.92,169.24,AI Leader
ORG_43,IT,Small,38,ChatGPT,2024,17058,32.5,35632.35,6,36.5,208.89,AI Leader
ORG_44,Retail,Medium,566,ChatGPT,2021,112427,32.39,263244.89,6,25.29,234.15,Early Adopter
ORG_45,IT,Small,61,Midjourney,2026,13377,22.36,11471.41,5,5.07,85.75,Slow Adopter
ORG_46,Retail,Medium,691,Claude,2026,66810,25.78,52555.62,10,18.77,78.66,Early Adopter
ORG_47,Healthcare,Medium,564,Copilot,2024,31188,40.44,67303.66,3,38.05,215.8,AI Leader
ORG_48,Healthcare,Medium,381,ChatGPT,2025,71534,22.58,116675.77,8,15.22,163.11,Early Adopter
ORG_49,Finance,Medium,655,Copilot,2021,64887,21.78,107126.67,7,30.6,165.1,AI Leader
ORG_50,IT,Large,6029,Copilot,2024,269608,34.67,205536.32,7,39.18,76.24,AI Leader
ORG_51,Healthcare,Medium,640,Gemini,2024,120229,25.16,314225.65,9,28.74,261.36,Early Adopter
ORG_52,Finance,Large,6063,ChatGPT,2024,236199,14.58,325334.57,4,15.42,137.74,Early Adopter
ORG_53,Finance,Small,120,Midjourney,2026,11612,19.81,22366.11,3,28.83,192.61,Early Adopter
ORG_54,Education,Small,54,Claude,2026,15745,36.15,15156.69,9,29.85,96.26,Early Adopter
ORG_55,IT,Medium,345,ChatGPT,2026,112298,25.24,207973.56,9,24.98,185.2,Early Adopter
ORG_56,IT,Medium,298,ChatGPT,2022,80146,18.18,183676.38,6,5.79,229.18,Slow Adopter
ORG_57,Education,Medium,282,Gemini,2023,55581,14.86,140735.84,5,7.78,253.21,Slow Adopter
ORG_58,Finance,Small,91,Copilot,2020,21191,25.72,38444.61,5,20.62,181.42,Early Adopter
ORG_59,Education,Small,76,Gemini,2025,22817,29.55,24380.45,7,18.56,106.85,Early Adopter
ORG_60,Manufacturing,Medium,937,Gemini,2023,87033,21.03,157040.77,5,17.51,180.44,Early Adopter
ORG_61,IT,Medium,741,Claude,2025,113940,33.2,261107.07,6,38.13,229.16,AI Leader
ORG_62,Retail,Medium,745,ChatGPT,2025,76558,19.92,67641.7,5,10.74,88.35,Slow Adopter
ORG_63,Healthcare,Small,27,Claude,2022,25789,22.2,25250.11,10,18.23,97.91,Early Adopter
ORG_64,Finance,Small,40,Gemini,2022,23835,34.06,32968.13,7,9.55,138.32,Slow Adopter
ORG_65,Manufacturing,Small,97,ChatGPT,2023,11326,19.49,28562.73,9,6.41,252.19,Slow Adopter
ORG_66,Education,Small,55,Copilot,2026,19198,20.33,21491.32,9,9.83,111.95,Slow Adopter
ORG_67,Retail,Small,149,ChatGPT,2025,19550,24.0,43970.99,9,12.34,224.92,Slow Adopter
ORG_68,Retail,Small,57,ChatGPT,2024,16364,13.73,40084.63,7,12.96,244.96,Slow Adopter
ORG_69,Manufacturing,Small,63,ChatGPT,2023,14958,34.15,11835.14,4,20.54,79.12,Early Adopter
ORG_70,Manufacturing,Medium,975,Gemini,2025,119080,15.65,220978.22,7,17.01,185.57,Early Adopter
ORG_71,Healthcare,Large,4812,ChatGPT,2026,193068,17.75,195085.07,8,11.34,101.04,Slow Adopter
ORG_72,Manufacturing,Large,4735,ChatGPT,2026,265222,31.65,694422.9,10,22.41,261.83,Early Adopter
ORG_73,Manufacturing,Large,3551,Copilot,2025,103927,33.05,238292.6,5,29.58,229.29,Early Adopter
ORG_74,Manufacturing,Large,9915,ChatGPT,2024,231321,19.46,396352.04,4,7.25,171.34,Slow Adopter
ORG_75,Retail,Small,22,Gemini,2021,7648,20.36,16107.13,9,7.97,210.61,Slow Adopter
ORG_76,Retail,Small,120,ChatGPT,2020,5706,19.06,15092.17,8,20.51,264.5,Early Adopter
ORG_77,Manufacturing,Medium,533,Midjourney,2026,82424,19.36,153625.22,5,10.59,186.38,Slow Adopter
ORG_78,Education,Small,124,Copilot,2025,17853,37.97,31256.03,7,33.53,175.07,AI Leader
ORG_79,Retail,Small,61,Copilot,2024,16313,29.46,29159.79,8,19.25,178.75,Early Adopter
ORG_80,IT,Small,72,Gemini,2026,21377,13.38,45451.32,8,7.33,212.62,Slow Adopter
ORG_81,Retail,Medium,868,Copilot,2024,67137,22.01,76984.39,7,24.21,114.67,Early Adopter
ORG_82,IT,Small,105,Gemini,2025,21756,27.79,20229.13,8,30.92,92.98,AI Leader
ORG_83,Retail,Medium,329,Copilot,2020,58333,19.49,58304.71,4,23.92,99.95,Early Adopter
